"","Player","Team","Season","Position","Minutes","Goals Added"
"","Federico Higuaín","CLB","2018","AM","2544","3.58"
"","Fabián Espíndola","DCU","2015","ST","1444","3.57"
"","Sacha Kljestan","ORL","2018","AM","2729","3.57"
"","Sebastián Fernandez","VAN","2014","W","2119","3.57"
"","Kei Kamara","COL","2019","ST","2791","3.57"
"","Leandro Barrera","CHV","2014","W","2193","3.55"
"","Brandon Bye","NER","2019","FB","2927","3.55"
"","Leonardo González","SEA","2013","FB","2500","3.55"
"","Erik Hurtado","VAN","2014","ST","1959","3.54"
"","Aaron Herrera","RSL","2019","FB","3029","3.54"
"","Víctor Rodríguez","SEA","2019","W","1198","3.54"
"","Nemanja Nikolic","CHI","2018","ST","2621","3.54"
"","Tesho Akindele","FCD","2017","W","1662","3.54"
"","Raymon Gaddis","PHI","2014","FB","3288","3.53"
"","Bastian Schweinsteiger","CHI","2019","CB","2928","3.53"
"","Diego Polenta","LAG","2019","CB","2765","3.53"
"","Eric Alexander","NYRB","2013","W","2661","3.52"
"","Michael Murillo","NYRB","2018","FB","2124","3.52"
"","Daniel Steres","LAG","2017","CB","2003","3.51"
"","Kwadwo Poku","NYC","2015","AM","1129","3.51"
"","Clint Dempsey","SEA","2016","AM","1521","3.51"
"","Teal Bunbury","NER","2018","ST","2760","3.50"
"","Bastian Schweinsteiger","CHI","2017","DM","2137","3.50"
"","Ethan Finlay","MIN, CLB","2017","W","2445","3.50"
"","Andrés Romero","MTL","2014","W","2333","3.49"
"","Matt Besler","SKC","2013","CB","2254","3.49"
"","Jonathan Osorio","TOR","2015","CM","2373","3.49"
"","Felipe","MTL","2014","AM","2610","3.48"
"","Víctor Rodríguez","SEA","2018","W","1352","3.48"
"","Cristian Higuita","ORL","2015","DM","2382","3.48"
"","Davy Arnaud","DCU","2014","CM","2822","3.47"
"","Krisztián Németh","SKC","2019","ST","1724","3.47"
"","Danny Hoesen","SJE","2017","ST","1991","3.47"
"","Larrys Mabiala","POR","2018","CB","3017","3.47"
"","Andrés Romero","MTL","2013","W","1821","3.47"
"","Diego Fagundez","NER","2016","W","2423","3.45"
"","C.J. Sapong","PHI","2018","ST","2474","3.45"
"","Ronald Matarrita","NYC","2019","FB","2171","3.44"
"","Chad Marshall","CLB","2013","CB","2858","3.44"
"","Fafa Picault","PHI","2017","W","2025","3.43"
"","Justin Meram","ORL, CLB","2018","W","2027","3.43"
"","Felipe","VAN","2018","CM","2454","3.43"
"","Didier Drogba","MTL","2015","ST","942","3.42"
"","Cristian Techera","VAN","2015","W","1688","3.42"
"","Tony Tchani","CLB","2016","DM","1928","3.42"
"","Justin Meram","CLB","2014","W","1827","3.42"
"","Tyler Adams","NYRB","2018","DM","2544","3.42"
"","Derrick Etienne","NYRB","2018","W","1126","3.42"
"","Adama Diomande","LAFC","2019","ST","1583","3.42"
"","Tommy Smith","COL","2018","CB","3278","3.41"
"","Darren Mattocks","VAN","2014","ST","1977","3.41"
"","Mauro Díaz","FCD","2014","AM","1000","3.40"
"","Robbie Rogers","LAG","2015","FB","2482","3.40"
"","Sebastian Lletget","LAG","2016","W","2222","3.40"
"","Alejandro Silva","MTL","2018","W","2551","3.39"
"","Mauro Rosales","SEA","2013","W","2314","3.39"
"","Johan Kappelhof","CHI","2017","CB","3102","3.38"
"","Chris Wingert","RSL","2014","FB","2752","3.37"
"","Kennedy Igboananike","CHI","2015","ST","1940","3.37"
"","Tommy Thompson","SJE","2017","W","1694","3.37"
"","Omar González","LAG","2014","CB","2040","3.37"
"","Jermain Defoe","TOR","2014","ST","1658","3.37"
"","Jorge Moreira","POR","2019","FB","2485","3.37"
"","Alex Muyl","NYRB","2019","W","1552","3.36"
"","Cristian Roldan","SEA","2016","DM","2829","3.36"
"","Dom Dwyer","ORL, SKC","2017","ST","2411","3.35"
"","Florian Jungwirth","SJE","2019","CB","2944","3.34"
"","Lee Nguyen","NER","2017","ST","2717","3.34"
"","Krisztián Németh","SKC","2015","W","2189","3.33"
"","Memo Rodríguez","HOU","2019","W","1540","3.32"
"","Chris Mueller","ORL","2018","W","2230","3.31"
"","Osvaldo Alonso","SEA","2013","CM","2356","3.31"
"","Kekuta Manneh","VAN","2014","W","1330","3.30"
"","Alex","HOU","2016","DM","2669","3.30"
"","Chad Marshall","SEA","2016","CB","2820","3.30"
"","Eric Alexander","NYRB","2014","CM","2829","3.30"
"","Gyasi Zardes","LAG","2015","W","2643","3.30"
"","Justin Morrow","TOR","2015","FB","2967","3.30"
"","Federico Higuaín","CLB","2017","AM","2395","3.30"
"","Juan Ramírez","COL","2015","W","1606","3.29"
"","Justin Meram","ATL, CLB","2019","FB","1795","3.29"
"","Kyle Beckerman","RSL","2017","DM","2412","3.29"
"","Stefan Ishizaki","LAG","2014","W","2028","3.29"
"","Kendall Waston","VAN","2016","CB","2444","3.28"
"","Patrice Bernier","MTL","2013","DM","2698","3.28"
"","Chris Rolfe","DCU","2015","W","2571","3.28"
"","Harry Shipp","CHI","2015","W","2764","3.27"
"","Jordan Harvey","VAN","2015","FB","2424","3.27"
"","Chris Mavinga","TOR","2019","CB","2318","3.26"
"","Marcelo Sarvas","DCU","2016","DM","2407","3.26"
"","Christian Ramirez","HOU, LAFC","2019","ST","1760","3.26"
"","Joevin Jones","SEA","2017","FB","2618","3.26"
"","Justin Morrow","TOR","2017","FB","2656","3.26"
"","Lamar Neagle","DCU","2016","W","2104","3.26"
"","Aurélien Collin","SKC","2013","CB","2794","3.25"
"","Ignacio Piatti","MTL","2017","W","2567","3.24"
"","Rafael Baca","SJE","2013","CM","2551","3.24"
"","Damir Kreilach","RSL","2019","ST","2885","3.24"
"","Kelyn Rowe","NER","2017","FB","2048","3.23"
"","Danny Cruz","PHI","2013","W","2267","3.23"
"","Sebastian Lletget","LAG","2019","CM","2523","3.23"
"","Ned Grabavoy","RSL","2014","CM","2939","3.23"
"","Jeff Larentowicz","CHI","2014","CM","3211","3.22"
"","Marcelo Sarvas","COL","2015","DM","2026","3.22"
"","Dominic Oduro","MTL","2016","W","2184","3.22"
"","Andrew Driver","HOU","2014","CM","2074","3.21"
"","Keegan Rosenberry","PHI","2016","FB","3307","3.21"
"","Andrea Pirlo","NYC","2016","CM","2956","3.21"
"","Alan Gordon","LAG, SJE","2014","ST","1333","3.19"
"","Zach Loyd","FCD","2014","FB","2621","3.18"
"","Daniel Steres","LAG","2019","CB","2862","3.17"
"","Liam Ridgewell","POR","2015","CB","3085","3.17"
"","Keaton Parks","NYC","2019","CM","1511","3.17"
"","Dax McCarty","NYRB","2013","CM","2803","3.16"
"","Alvas Powell","POR","2016","FB","2170","3.15"
"","Zakaria Diallo","MTL","2019","CB","2234","3.14"
"","Aurélien Collin","ORL","2015","CB","2596","3.14"
"","Ricardo Clark","HOU","2015","CM","2757","3.14"
"","Richie Laryea","TOR","2019","FB","1605","3.14"
"","Péguy Luyindula","NYRB","2014","AM","1530","3.13"
"","Joevin Jones","CHI","2015","FB","2433","3.13"
"","Lalas Abubakar","COL, CLB","2019","CB","2286","3.13"
"","Matt Hedges","FCD","2016","CB","2525","3.12"
"","Drew Moor","COL","2013","CB","3024","3.12"
"","Alvas Powell","POR","2018","FB","2243","3.11"
"","DeAndre Yedlin","SEA","2014","FB","2396","3.11"
"","Sebastien Le Toux","COL, PHI","2016","W","2005","3.10"
"","Chance Myers","SKC","2013","FB","2597","3.10"
"","Joevin Jones","SEA","2016","FB","2733","3.10"
"","Fabinho","PHI","2016","FB","2710","3.09"
"","Warren Creavalle","HOU","2013","CM","1772","3.09"
"","Emmanuel Boateng","LAG","2017","W","2449","3.08"
"","Bacary Sagna","MTL","2019","FB","2392","3.08"
"","Matías Laba","VAN","2014","DM","2966","3.08"
"","Matt Miazga","NYRB","2015","CB","2291","3.08"
"","Sean St Ledger","ORL, COL","2015","CB","2434","3.07"
"","Kenny Cooper","FCD","2013","ST","1881","3.07"
"","Giles Barnes","HOU","2015","ST","2657","3.07"
"","Kyle Beckerman","RSL","2014","DM","2732","3.07"
"","Daigo Kobayashi","NER","2014","CM","2002","3.06"
"","Julian Gressel","ATL","2017","W","2188","3.06"
"","Zarek Valentin","POR","2017","FB","1675","3.06"
"","Wil Trapp","CLB","2015","DM","1658","3.06"
"","Jonathan dos Santos","LAG","2018","CM","2066","3.06"
"","Jordan Harvey","VAN","2014","FB","3184","3.06"
"","Santiago Mosquera","FCD","2019","W","1313","3.06"
"","Jefferson Savarino","RSL","2019","W","2506","3.06"
"","Felipe Gutiérrez","SKC","2018","CM","1650","3.05"
"","Marvell Wynne","COL","2013","FB","2507","3.05"
"","Andrew Farrell","NER","2019","CB","2865","3.05"
"","Darwin Cerén","ORL","2015","DM","2433","3.04"
"","Taylor Kemp","DCU","2016","FB","2955","3.03"
"","Todd Dunivant","LAG","2013","FB","2392","3.02"
"","Michael de Leeuw","CHI","2017","AM","2342","3.02"
"","Alexander Ring","NYC","2018","DM","2832","3.02"
"","Marc Rzatkowski","NYRB","2018","DM","1650","3.02"
"","Frank Lampard","NYC","2016","CM","1375","3.02"
"","Ezequiel Barco","ATL","2018","W","1860","3.02"
"","Raheem Edwards","MTL, CHI","2018","W","1869","3.02"
"","Sam Cronin","SJE","2014","CM","2836","3.01"
"","Sebastien Le Toux","PHI","2013","ST","2413","3.01"
"","Roy Miller","NYRB","2014","FB","2092","3.01"
"","Dillon Powers","COL","2016","AM","2284","3.01"
"","Osvaldo Alonso","SEA","2018","DM","1990","3.01"
"","Teal Bunbury","NER","2019","ST","2389","3.00"
"","Marco Delgado","TOR","2015","CM","1812","3.00"
"","Raúl Ruidíaz","SEA","2018","ST","1176","3.00"
"","Jeff Larentowicz","CHI","2015","CB","2815","3.00"
"","Dillon Powers","COL","2013","AM","2653","3.00"
"","Amobi Okugo","PHI","2014","DM","3010","2.99"
"","Juan David Cabezas","HOU","2017","DM","2419","2.99"
"","Luke Mulholland","RSL","2014","CM","2141","2.99"
"","Ilsinho","PHI","2018","W","1080","2.99"
"","Sal Zizzo","NYRB","2015","FB","1140","2.98"
"","Kelvin Leerdam","SEA","2019","FB","2617","2.98"
"","Dominic Oduro","MTL","2015","ST","1828","2.98"
"","Juan Agudelo","NER","2018","W","1672","2.98"
"","Benny Feilhaber","SKC","2013","CM","1876","2.97"
"","Mike Grella","NYRB","2016","W","2604","2.97"
"","Júnior Moreno","DCU","2019","DM","2820","2.97"
"","Vincent Nogueira","PHI","2014","AM","2671","2.97"
"","Graham Zusi","SKC","2014","W","2328","2.97"
"","Samuel Piette","MTL","2018","DM","3253","2.96"
"","Carlos Rivas","ORL","2017","ST","2128","2.95"
"","Clarence Goodson","SJE","2015","CB","2596","2.95"
"","Chris Tierney","NER","2014","FB","2084","2.95"
"","Hassoun Camara","MTL","2013","FB","3116","2.94"
"","Micheal Azira","COL","2016","DM","2703","2.94"
"","Nick Lima","SJE","2018","FB","3311","2.94"
"","Jackson Yueill","SJE","2019","DM","2954","2.94"
"","Mike Grella","NYRB","2015","W","2493","2.94"
"","Drew Moor","TOR","2016","CB","3104","2.94"
"","Orji Okwonkwo","MTL","2019","W","1896","2.94"
"","Ambroise Oyongo","MTL","2016","FB","2510","2.94"
"","Deshorn Brown","COL","2013","W","2330","2.94"
"","Nick Hagglund","TOR","2014","CB","2253","2.93"
"","Roland Lamah","FCD","2017","W","2276","2.93"
"","Alberto Quintero","SJE","2016","W","2343","2.93"
"","Nick DeLeon","DCU","2013","W","2043","2.92"
"","Conor Casey","PHI","2014","ST","1521","2.92"
"","Andrew Farrell","NER","2018","FB","2944","2.92"
"","Vicente Sánchez","COL","2015","W","1538","2.91"
"","Yohan Croizet","SKC","2018","CM","1776","2.91"
"","Ilie Sánchez","SKC","2019","DM","2771","2.91"
"","Matteo Mancosu","MTL","2017","ST","1888","2.90"
"","Christian Ramirez","MIN","2017","ST","2584","2.90"
"","Erick Torres","HOU","2017","ST","2163","2.90"
"","Alex","CHI","2014","W","2123","2.90"
"","Kelyn Rowe","NER","2014","W","2107","2.89"
"","Darren Mattocks","VAN","2013","ST","1031","2.89"
"","Ruan","ORL","2019","FB","2333","2.89"
"","Jimmy Medranda","SKC","2017","W","2247","2.89"
"","Alexander Callens","NYC","2017","CB","3304","2.89"
"","Sheanon Williams","PHI","2014","FB","2251","2.89"
"","Marcelo Sarvas","DCU","2017","DM","1998","2.89"
"","Matt Hedges","FCD","2018","CB","3218","2.89"
"","Boniek García","HOU","2016","W","2438","2.89"
"","Raymon Gaddis","PHI","2015","FB","2585","2.88"
"","Gyasi Zardes","LAG","2016","ST","1742","2.88"
"","Tesho Akindele","FCD","2014","ST","1886","2.88"
"","Chris Klute","COL","2013","FB","2918","2.88"
"","Brooks Lennon","RSL","2018","FB","3119","2.88"
"","Ibrahim Sekagya","NYRB","2014","CB","2088","2.87"
"","David Accam","PHI","2018","W","1324","2.87"
"","Collen Warner","MTL, TOR","2014","CM","2445","2.87"
"","Jeb Brovsky","MTL","2013","FB","2833","2.85"
"","Perry Kitchen","DCU","2013","CM","2974","2.85"
"","Diego Chara","POR","2016","DM","2827","2.85"
"","Diego Chara","POR","2014","DM","2976","2.85"
"","Justin Morrow","TOR","2014","FB","2897","2.84"
"","Yamil Asad","ATL","2017","W","2945","2.84"
"","Tommy Smith","COL","2019","CB","2661","2.84"
"","Mike Magee","CHI","2014","ST","1629","2.84"
"","Nick DeLeon","DCU","2015","W","2382","2.83"
"","Luis Caicedo","NER","2019","DM","2583","2.83"
"","Brooks Lennon","RSL","2017","W","1691","2.83"
"","Drew Moor","COL","2014","CB","2152","2.82"
"","Danny Cruz","PHI","2014","W","1458","2.82"
"","Tesho Akindele","ORL","2019","ST","2076","2.81"
"","Lucas Rodríguez","DCU","2019","W","2977","2.81"
"","Fabian Castillo","FCD","2016","W","1859","2.81"
"","Bobby Boswell","HOU","2013","CB","3044","2.81"
"","Scott Sutter","ORL","2017","FB","2950","2.80"
"","José Gonçalves","NER","2013","CB","3329","2.80"
"","Ilie Sánchez","SKC","2017","DM","3235","2.79"
"","Gonzalo Verón","NYRB","2017","ST","928","2.79"
"","Dilly Duka","MTL, CHI","2014","W","1456","2.78"
"","Auro","TOR","2019","FB","2042","2.78"
"","Nick DeLeon","DCU","2017","FB","1715","2.78"
"","Chad Marshall","SEA","2018","CB","2819","2.78"
"","Jackson","TOR","2015","FB","1520","2.78"
"","Rasmus Schüller","MIN","2018","DM","2781","2.78"
"","Maynor Figueroa","FCD","2017","FB","2521","2.77"
"","Sean Franklin","LAG","2013","FB","2948","2.77"
"","Andy Polo","POR","2018","CM","1780","2.77"
"","Patrick Nyarko","DCU","2017","W","1097","2.77"
"","Leonardo Jara","DCU","2019","FB","2546","2.77"
"","Federico Higuaín","CLB","2016","AM","1708","2.77"
"","Aníbal Godoy","SJE","2016","CM","2089","2.76"
"","Jonny Steele","NYRB","2013","W","2846","2.75"
"","Chad Marshall","SEA","2015","CB","2727","2.75"
"","Kyle Porter","DCU","2013","W","1717","2.74"
"","Luke Mulholland","RSL","2015","DM","2491","2.74"
"","Jack Harrison","NYC","2016","W","1687","2.74"
"","Jámison Olave","NYRB","2014","CB","2723","2.74"
"","Reto Ziegler","FCD","2018","CB","2804","2.74"
"","Andrew Wenger","HOU","2018","FB","1886","2.74"
"","Pedro Morales","VAN","2015","AM","1553","2.73"
"","Jeremy Ebobisse","POR","2019","ST","2552","2.73"
"","Wayne Rooney","DCU","2018","ST","1787","2.73"
"","Artur","CLB","2018","DM","3014","2.73"
"","Matt Besler","SKC","2016","CB","1662","2.73"
"","Erik Hurtado","VAN","2016","ST","1363","2.73"
"","Chris Mavinga","TOR","2017","CB","2169","2.72"
"","Gonzalo Pineda","SEA","2015","CM","2008","2.72"
"","Kemar Lawrence","NYRB","2015","FB","2143","2.72"
"","Edgar Mejía","CHV","2013","CM","2436","2.72"
"","Nigel de Jong","LAG","2016","DM","1679","2.72"
"","Robbie Findley","RSL","2013","ST","1351","2.72"
"","Giovani dos Santos","LAG","2018","AM","896","2.71"
"","Andrew Jacobson","NYC","2015","DM","3049","2.71"
"","Justin Morrow","TOR","2016","FB","2849","2.71"
"","Jack Elliott","PHI","2017","CB","2819","2.71"
"","Chris Pontius","LAG","2018","W","1626","2.71"
"","Kevin Molino","MIN","2019","W","987","2.71"
"","Khiry Shelton","NYC","2016","W","1257","2.70"
"","Roland Lamah","CIN","2019","W","1937","2.70"
"","Osvaldo Alonso","MIN","2019","DM","2588","2.70"
"","Razvan Cocis","CHI","2016","DM","2075","2.70"
"","Bobby Boswell","DCU","2014","CB","3294","2.70"
"","Andrew Farrell","NER","2017","FB","2865","2.69"
"","Je-Vaughn Watson","FCD","2015","FB","2141","2.69"
"","Dax McCarty","CHI","2018","DM","2429","2.69"
"","Je-Vaughn Watson","FCD","2014","W","2694","2.68"
"","Kellyn Acosta","FCD","2017","CM","2049","2.68"
"","Luke Mulholland","RSL","2017","DM","2102","2.68"
"","Lawrence Olum","SKC","2016","CB","1602","2.67"
"","Nick LaBrocca","COL","2014","CM","2790","2.67"
"","Luke Boden","ORL","2015","FB","2415","2.67"
"","Juan Agudelo","CHV, NER","2013","ST","1530","2.67"
"","Angelo Rodríguez","MIN","2018","ST","947","2.67"
"","Maurice Edu","PHI","2015","CB","2133","2.66"
"","Andrew Farrell","NER","2014","FB","3068","2.66"
"","Tim Parker","NYRB","2018","CB","2858","2.66"
"","Micheal Azira","COL","2017","CM","2781","2.66"
"","Graham Zusi","SKC","2019","FB","2588","2.66"
"","Keegan Rosenberry","COL","2019","FB","3377","2.66"
"","Jahmir Hyka","SJE","2017","W","2000","2.66"
"","Marco Delgado","TOR","2016","CM","2131","2.66"
"","Luis Gil","RSL","2013","CM","2231","2.65"
"","Matías Pérez García","ORL, SJE","2016","W","1769","2.65"
"","Seth Sinovic","SKC","2014","FB","2993","2.65"
"","Steven Caldwell","TOR","2013","CB","2231","2.65"
"","Robbie Rogers","LAG","2014","FB","1492","2.64"
"","Marvell Wynne","SJE","2016","CB","2983","2.64"
"","Víctor Bernárdez","SJE","2015","CB","2695","2.64"
"","Oguchi Onyewu","PHI","2017","CB","2088","2.64"
"","Jonathan Osorio","TOR","2014","W","2202","2.63"
"","Michael Murillo","NYRB","2019","FB","1885","2.63"
"","Teal Bunbury","NER","2017","W","1432","2.62"
"","Andrew Farrell","NER","2013","FB","3060","2.62"
"","Jack McInerney","POR","2016","ST","1025","2.62"
"","Davy Arnaud","DCU","2015","CM","2079","2.62"
"","Corey Baird","RSL","2019","W","2272","2.62"
"","Jordan Stewart","SJE","2014","FB","2791","2.62"
"","Daniel Lovitz","MTL","2018","FB","2883","2.61"
"","Dillon Powers","COL","2015","AM","2376","2.61"
"","Claude Dielna","POR","2019","CB","1226","2.60"
"","Eric Avila","CHV","2013","W","2349","2.60"
"","David Mateos","ORL","2016","CB","1915","2.60"
"","Benny Feilhaber","SKC, COL","2019","CM","1879","2.60"
"","Valeri Qazaishvili","SJE","2017","W","844","2.60"
"","Brad Evans","SEA","2013","CM","1902","2.60"
"","Hernán Grana","FCD","2017","FB","2868","2.60"
"","Ezequiel Barco","ATL","2019","W","1055","2.60"
"","Álvaro Saborio","DCU","2016","ST","977","2.60"
"","Kevin Doyle","COL","2017","ST","2129","2.59"
"","Marco Delgado","TOR","2018","CM","2148","2.59"
"","Boniek García","HOU","2018","DM","2312","2.59"
"","Romell Quioto","HOU","2019","W","895","2.59"
"","Sean Franklin","DCU","2014","FB","2733","2.58"
"","Gershon Koffie","NER","2017","DM","2082","2.58"
"","Kekuta Manneh","VAN","2016","W","1208","2.58"
"","Ulises Segura","DCU","2018","W","1425","2.58"
"","Jorge Villafaña","POR","2015","FB","3135","2.58"
"","Auston Trusty","PHI","2018","CB","3315","2.58"
"","Shea Salinas","SJE","2018","FB","1967","2.58"
"","Andrew Jacobson","VAN","2017","CB","1832","2.57"
"","Oriol Rosell","ORL","2018","DM","1869","2.57"
"","Shay Facey","NYC","2015","CB","1969","2.57"
"","Jerome Thiesson","MIN","2017","FB","3202","2.57"
"","Fabinho","PHI","2015","FB","2260","2.57"
"","Nick Hagglund","CIN","2019","CB","1985","2.57"
"","Patrick Nyarko","CHI","2015","W","1294","2.56"
"","Wil Trapp","CLB","2016","DM","2738","2.56"
"","Reto Ziegler","FCD","2019","CB","3208","2.55"
"","Joao Plata","RSL","2015","W","1524","2.55"
"","Michael Parkhurst","ATL","2017","CB","3131","2.55"
"","Héctor Villalba","ATL","2019","W","1038","2.55"
"","Dominique Badji","COL","2016","W","1726","2.54"
"","Keegan Rosenberry","PHI","2018","FB","3009","2.54"
"","Mark-Anthony Kaye","LAFC","2018","CM","1720","2.54"
"","Blas Pérez","FCD","2013","ST","2191","2.54"
"","Steven Birnbaum","DCU","2018","CB","3355","2.54"
"","Simon Dawkins","SJE","2016","W","2570","2.54"
"","Aurélien Collin","SKC","2014","CB","2269","2.54"
"","Brad Smith","SEA","2019","FB","2151","2.54"
"","Tony Beltran","RSL","2014","FB","2692","2.54"
"","Raymon Gaddis","PHI","2018","FB","2500","2.54"
"","Luis Solignac","CHI, COL","2016","ST","2328","2.53"
"","Khaly Thiam","CHI","2016","DM","1393","2.53"
"","Ryan Hollingshead","FCD","2016","FB","2189","2.53"
"","Dimitry Imbongo Boele","NER","2013","ST","1140","2.53"
"","Alexander Callens","NYC","2018","CB","2983","2.53"
"","Jeff Larentowicz","CHI","2013","CM","3025","2.53"
"","Jonathan Mensah","CLB","2019","CB","2372","2.52"
"","DeAndre Yedlin","SEA","2013","FB","2946","2.52"
"","Sebastián Saucedo","RSL","2018","W","1186","2.51"
"","Sebastián Saucedo","RSL","2019","W","1316","2.51"
"","Mohammed Saeid","MIN, COL","2017","CM","2698","2.50"
"","Wilfried Zahibo","NER","2019","DM","1667","2.50"
"","Djordje Mihailovic","CHI","2019","DM","1608","2.50"
"","Patrice Bernier","MTL","2017","CM","1936","2.50"
"","Javier Morales","RSL","2016","CM","2371","2.50"
"","Victor Ulloa","FCD","2015","DM","3125","2.50"
"","Mauro Rosales","VAN, CHV","2014","W","2535","2.50"
"","Michel","FCD","2014","CM","1954","2.49"
"","Steven Birnbaum","DCU","2016","CB","2522","2.49"
"","Adolfo Machado","HOU","2017","CB","3231","2.49"
"","Rod Fanni","MTL","2018","CB","2492","2.48"
"","Sebastián Méndez","ORL","2019","DM","2002","2.48"
"","Bakary Soumaré","CHI, PHI","2013","CB","2348","2.48"
"","Dániel Sallói","SKC","2018","W","2513","2.48"
"","Jordan Hamilton","TOR","2018","ST","940","2.47"
"","Román Torres","SEA","2019","CB","1276","2.47"
"","Magnus Eriksson","SJE","2018","W","2684","2.47"
"","Chris Korb","DCU","2015","FB","1561","2.47"
"","Darren Mattocks","POR","2016","W","1006","2.46"
"","Dániel Sallói","SKC","2019","W","1713","2.46"
"","Lucas Janson","TOR","2018","ST","884","2.46"
"","Chris Schuler","RSL","2014","CB","2344","2.46"
"","Niko Hansen","CLB","2018","W","1120","2.46"
"","Walker Zimmerman","LAFC","2019","CB","2373","2.46"
"","Chad Marshall","SEA","2017","CB","2551","2.46"
"","Davy Arnaud","MTL","2013","CM","1909","2.46"
"","Tosaint Ricketts","TOR","2017","ST","1117","2.46"
"","Sebastian Velasquez","RSL","2013","CM","1007","2.45"
"","Lloyd Sam","DCU","2017","W","2154","2.44"
"","Wilfried Zahibo","NER","2018","DM","2117","2.44"
"","Taylor Kemp","DCU","2015","FB","2442","2.44"
"","Steven Gerrard","LAG","2015","CM","1244","2.44"
"","Erik Friberg","SEA","2016","DM","1710","2.43"
"","Kofi Sarkodie","HOU","2014","FB","3108","2.43"
"","Juan Agudelo","NER","2015","W","1908","2.42"
"","Maynor Figueroa","FCD","2016","FB","2633","2.42"
"","Gershon Koffie","VAN","2014","DM","1676","2.42"
"","Shea Salinas","SJE","2016","W","1413","2.42"
"","Chris Korb","DCU","2013","FB","2897","2.42"
"","Luis Silva","RSL","2017","ST","1913","2.42"
"","Nathan Sturgis","COL","2013","DM","2192","2.42"
"","Juan Agudelo","NER","2017","ST","1954","2.42"
"","Benny Feilhaber","LAFC","2018","CM","3052","2.41"
"","Shea Salinas","SJE","2017","FB","1577","2.41"
"","Tristan Blackmon","LAFC","2019","FB","1512","2.41"
"","Lawrence Olum","SKC","2014","DM","2017","2.41"
"","Marvell Wynne","COL","2014","CB","2588","2.40"
"","Matteo Ferrari","MTL","2013","CB","3041","2.40"
"","Yamil Asad","DCU","2018","W","2579","2.40"
"","Boniek García","HOU","2019","DM","2831","2.40"
"","Andrew Jacobson","FCD","2013","DM","2481","2.39"
"","Ulises Segura","DCU","2019","W","1995","2.39"
"","Olmes García","RSL","2015","W","1722","2.39"
"","Darwin Cerén","ORL, SJE","2016","CM","2299","2.39"
"","Ian Harkes","DCU","2017","CM","2104","2.39"
"","Keon Daniel","PHI","2013","CM","1858","2.39"
"","Steven Beitashour","VAN","2014","FB","2558","2.39"
"","Daniel Royer","NYRB","2017","W","2000","2.39"
"","Andrés Flores","POR","2018","CM","1343","2.38"
"","Kenny Miller","VAN","2013","ST","1773","2.38"
"","Matteo Mancosu","MTL","2016","ST","851","2.38"
"","Edgar Castillo","NER","2019","FB","1837","2.38"
"","Ryan Johnson","POR","2013","ST","1898","2.38"
"","Robinho","ORL, CLB","2019","W","1456","2.37"
"","Cristhian Paredes","POR","2019","DM","1813","2.37"
"","Cordell Cato","SJE","2014","W","1738","2.37"
"","Darlington Nagbe","ATL","2018","CM","2160","2.37"
"","Cristian Cásseres Jr","NYRB","2019","DM","1991","2.36"
"","Lawrence Olum","POR","2017","CB","2324","2.36"
"","Auro","TOR","2018","FB","1548","2.36"
"","Olmes García","RSL","2013","ST","1136","2.36"
"","Lucas Melano","POR","2015","W","781","2.36"
"","Diego Fagundez","NER","2014","W","2308","2.36"
"","Jonathan Mensah","CLB","2018","CB","2550","2.36"
"","Roger Espinoza","SKC","2015","CM","1595","2.35"
"","A.J. DeLaGarza","LAG","2014","FB","2680","2.35"
"","Scott Caldwell","NER","2016","DM","2790","2.35"
"","Kendall Waston","VAN","2017","CB","2429","2.35"
"","Tim Parker","VAN","2017","CB","3103","2.34"
"","Blas Pérez","FCD","2014","ST","2264","2.34"
"","Fabinho","PHI","2017","FB","2041","2.34"
"","Zdenek Ondrasek","FCD","2019","ST","860","2.33"
"","Seth Sinovic","SKC","2013","FB","3019","2.33"
"","Cristián Maidana","HOU","2016","AM","1831","2.33"
"","Jorge Villafaña","POR","2014","FB","1721","2.33"
"","Tsubasa Endoh","TOR","2016","CM","1489","2.33"
"","Miguel Ibarra","MIN","2018","W","2960","2.32"
"","Michael Murillo","NYRB","2017","CB","1440","2.32"
"","Matt Besler","SKC","2014","CB","2317","2.32"
"","Luke Mulholland","RSL","2016","CM","2204","2.32"
"","Igor Julião","SKC","2014","FB","2157","2.31"
"","Mohamed El-Munir","ORL","2018","FB","2282","2.31"
"","Will Johnson","ORL","2018","FB","2364","2.31"
"","Olmes García","RSL","2014","ST","1319","2.31"
"","Chris Duvall","MTL","2017","FB","2374","2.30"
"","Brian White","NYRB","2019","ST","1452","2.30"
"","Andrew Wenger","MTL","2013","ST","985","2.30"
"","Chris Wondolowski","SJE","2018","ST","2511","2.30"
"","Tony Beltran","RSL","2013","FB","2408","2.29"
"","Andrea Pirlo","NYC","2015","DM","1150","2.29"
"","Ethan Finlay","MIN","2019","W","2120","2.29"
"","Fafa Picault","PHI","2019","ST","2051","2.29"
"","Marc Burch","COL","2016","FB","2636","2.29"
"","Nick DeLeon","TOR","2019","W","2030","2.29"
"","Eddie Johnson","DCU","2014","ST","2089","2.29"
"","Jelle Van Damme","LAG","2017","CB","1608","2.28"
"","Lee Young-Pyo","VAN","2013","FB","2970","2.28"
"","Steven Beitashour","SJE","2013","FB","2630","2.28"
