"","Player","Team","Season","Position","Minutes","Goals Added"
"","Patrick Nyarko","DCU","2016","W","1950","6.05"
"","Fanendo Adi","POR","2015","ST","2322","6.04"
"","Pedro Morales","VAN","2014","AM","2752","6.02"
"","Benny Feilhaber","SKC","2014","CM","2826","6.02"
"","Diego Chara","POR","2019","DM","2911","5.99"
"","Justin Mapp","MTL","2013","W","2315","5.99"
"","Ryan Hollingshead","FCD","2019","FB","3288","5.99"
"","David Accam","CHI","2016","W","2095","5.98"
"","Przemyslaw Frankowski","CHI","2019","W","2537","5.98"
"","Alejandro Romero Gamarra","NYRB","2019","AM","2111","5.96"
"","Alexandru Mitrita","NYC","2019","W","2338","5.95"
"","Leandro González Pirez","ATL","2018","CB","3026","5.95"
"","Graham Zusi","SKC","2018","FB","3369","5.95"
"","Javier Morales","RSL","2015","CM","2305","5.95"
"","Darlington Nagbe","POR","2014","W","2929","5.93"
"","Aleksandar Katai","CHI","2018","W","2628","5.93"
"","Haris Medunjanin","PHI","2019","DM","3374","5.90"
"","Kekuta Manneh","VAN","2015","W","2583","5.89"
"","Jozy Altidore","TOR","2019","ST","1840","5.88"
"","Víctor Vázquez","TOR","2017","CM","2531","5.87"
"","Chris Pontius","PHI","2016","W","2707","5.85"
"","Darlington Nagbe","POR","2013","W","3052","5.85"
"","Kei Kamara","CLB, NER","2016","ST","2864","5.83"
"","C.J. Sapong","CHI","2019","W","2784","5.81"
"","Federico Higuaín","CLB","2014","AM","2676","5.80"
"","Giles Barnes","HOU","2014","ST","3264","5.80"
"","Alejandro Romero Gamarra","NYRB","2018","AM","2594","5.79"
"","Nicolás Lodeiro","SEA","2019","AM","2747","5.79"
"","Yura Movsisyan","RSL","2016","ST","2323","5.78"
"","Luciano Acosta","DCU","2017","AM","2580","5.78"
"","Alex","HOU","2017","CM","2474","5.76"
"","Daniel Royer","NYRB","2018","W","2205","5.76"
"","Giovani dos Santos","LAG","2016","AM","2527","5.74"
"","Diego Rubio","COL","2019","AM","2216","5.71"
"","Omar González","LAG","2015","CB","2780","5.69"
"","Diego Valeri","POR","2019","AM","2867","5.68"
"","Ethan Finlay","CLB","2015","W","2958","5.67"
